"ID","ID_FORNECEDOR","DATALANCAMENTO","NUMERODOCUMENTO","DATADOCUMENTO","TOTALPARCELAS","VALORTOTAL","NUMEROPARCELA","VALORPARCELA","DATAVENCIMENTO","LIQUIDADO","DATAPAGAMENTO","VALORPAGO","DATA_INC","DATA_ALT"
78,8,2007-11-22,"760916/3    ",2007-11-19,"05",2877.39,"03",571.00,2007-12-24,S,2007-12-17,571.00,2007-11-22,
79,8,2007-11-22,"760916/4    ",2007-11-19,"05",2877.39,"04",571.00,2007-12-31,S,2008-01-03,571.00,2007-11-22,
80,8,2007-11-22,"760916/5    ",2007-11-19,"05",2877.39,"05",571.00,2008-01-07,S,2008-01-07,571.00,2007-11-22,
82,8,2007-11-27,"761803/1    ",2007-11-22,"03",1494.18,"01",514.18,2007-12-13,S,2007-12-10,514.18,2007-11-27,
83,8,2007-11-27,"761803/2    ",2007-11-22,"03",1494.18,"02",490.00,2007-12-20,S,2007-12-17,490.00,2007-11-27,
84,8,2007-11-27,"761803/3    ",2007-11-22,"03",1494.18,"03",490.00,2007-12-27,S,2007-12-27,490.00,2007-11-27,
85,1,2007-11-29,"16749/1     ",2007-11-29,"03",886.56,"01",295.92,2007-12-13,S,2007-12-10,295.92,2007-11-29,
86,1,2007-11-29,"16749/2     ",2007-11-29,"03",886.56,"02",295.92,2007-12-20,S,2007-12-17,295.92,2007-11-29,
87,1,2007-11-29,"16749/3     ",2007-11-29,"03",886.56,"03",295.92,2007-12-27,S,2007-12-27,295.92,2007-11-29,
88,1,2007-11-30,"3029        ",2007-11-29,"01",386.44,"01",386.44,2007-12-13,S,2007-12-13,386.44,2007-11-30,
89,1,2007-11-30,"3020        ",2007-11-29,"03",520.03,"01",173.35,2007-12-13,S,2007-12-13,173.35,2007-11-30,
90,1,2007-11-30,"3020/2      ",2007-11-29,"03",520.03,"02",173.34,2007-12-20,S,2007-12-17,173.34,2007-11-30,
91,1,2007-11-30,"3020/3      ",2007-11-29,"03",520.03,"03",173.34,2007-12-27,S,2007-12-27,173.34,2007-11-30,
92,1,2007-12-04,"3083/1      ",2007-12-03,"01",230.82,"01",230.82,2007-12-31,S,2008-01-03,230.82,2007-12-04,
93,17,2007-12-04,"2131239835  ",2007-11-27,"01",19.90,"01",19.90,2007-12-15,S,2007-12-11,19.90,2007-12-04,
94,17,2007-12-04,"2824153     ",2007-11-23,"01",19.20,"01",19.20,2007-12-10,S,2007-12-11,19.20,2007-12-04,
95,18,2007-12-04,"4527        ",2007-11-29,"01",300.00,"01",300.00,2007-12-25,S,2007-12-17,300.00,2007-12-04,
96,8,2007-12-06,"764796/1    ",2007-12-04,"01",614.98,"01",614.98,2008-01-01,S,2008-01-03,614.98,2007-12-06,
97,2,2007-12-06,"57330a      ",2007-12-05,"01",767.27,"01",767.27,2008-01-02,S,2008-01-03,767.27,2007-12-06,
98,8,2007-12-06,"763245/1    ",2007-11-28,"03",1363.19,"01",469.19,2007-12-19,S,2007-12-17,469.19,2007-12-06,
99,8,2007-12-06,"763245/2    ",2007-11-28,"03",1363.19,"02",447.00,2007-12-26,S,2007-12-27,447.00,2007-12-06,
100,2,2007-12-06,"763245/3    ",2007-11-28,"03",1363.19,"03",447.00,2008-01-02,S,2008-01-03,447.00,2007-12-06,
101,22,2007-12-06,"31719-6     ",2007-12-12,"01",268.15,"01",268.15,2007-12-12,S,2007-12-10,268.15,2007-12-06,
102,23,2007-12-06,"0           ",2007-11-01,"01",186.13,"01",186.13,2007-12-07,S,2007-12-08,186.13,2007-12-06,
103,11,2007-12-08,"5178        ",2007-11-28,"01",258.37,"01",258.37,2007-12-04,S,2007-12-11,258.37,2007-12-08,
104,11,2007-12-08,"5178        ",2007-11-28,"01",12.10,"01",12.10,2007-12-13,S,2007-12-11,12.10,2007-12-08,
105,1,2007-12-13,"17142/1     ",2007-12-11,"01",372.84,"01",372.84,2007-12-21,S,2007-12-17,372.84,2007-12-13,
106,1,2007-12-13,"3224/1      ",2007-12-11,"01",158.52,"01",158.52,2008-01-08,S,2008-01-07,158.52,2007-12-13,
107,24,2007-12-13,"000000      ",2007-12-01,"01",159.66,"01",159.66,2007-12-15,S,2007-12-15,159.66,2007-12-13,
108,2,2007-12-14,"455179      ",2007-12-12,"01",856.23,"01",856.23,2008-01-09,S,2008-01-07,856.23,2007-12-14,
109,2,2007-12-14,"455597A     ",2007-12-13,"01",686.66,"01",686.66,2008-01-10,S,2008-01-07,686.66,2007-12-14,
110,1,2007-12-15,"17333/br    ",2007-12-14,"01",160.44,"01",160.44,2007-12-28,S,2007-12-27,160.44,2007-12-15,2007-12-15
111,25,2007-12-15,"3330/1      ",2007-12-14,"01",237.91,"01",237.91,2008-01-11,S,2008-01-07,237.91,2007-12-15,
112,1,2007-12-17,"17385/1     ",2007-12-17,"03",536.78,"01",178.92,2007-12-24,S,2007-12-27,178.92,2007-12-17,
113,1,2007-12-17,"17385/2     ",2007-12-17,"03",536.78,"02",178.93,2007-12-31,S,2008-01-03,178.93,2007-12-17,
114,1,2007-12-17,"17382/3     ",2007-12-17,"03",536.78,"03",178.93,2008-01-07,S,2008-01-07,178.93,2007-12-17,
115,25,2007-12-17,"3357/1      ",2007-12-17,"01",213.59,"01",213.59,2008-01-14,S,2008-01-14,213.59,2007-12-17,
116,2,2007-12-18,"456078A     ",2007-12-14,"01",646.84,"01",646.84,2008-01-11,S,2008-01-07,646.84,2007-12-18,
117,2,2007-12-18,"455920A     ",2007-12-14,"01",540.01,"01",540.01,2008-01-04,S,2008-01-03,540.01,2007-12-18,
118,2,2007-12-18,"455920B     ",2007-12-14,"01",515.01,"01",515.01,2008-01-11,S,2008-01-07,515.01,2007-12-18,
119,8,2007-12-18,"767604/1    ",2007-12-13,"03",1477.56,"01",507.56,2008-01-03,S,2008-01-03,507.56,2007-12-18,
120,8,2007-12-18,"767604/2    ",2007-12-13,"03",1477.56,"02",485.00,2008-01-10,S,2008-01-07,485.00,2007-12-18,
121,8,2007-12-18,"767604/3    ",2007-12-13,"03",1477.56,"03",485.00,2008-01-17,S,2008-01-14,485.00,2007-12-18,
122,8,2007-12-18,"768044/1    ",2007-12-14,"02",907.41,"01",465.41,2008-01-04,S,2008-01-03,465.41,2007-12-18,2007-12-18
123,8,2007-12-18,"768044/2    ",2007-12-14,"02",907.41,"02",442.00,2008-02-18,S,2008-01-14,442.00,2007-12-18,
124,1,2007-12-20,"17448/1     ",2007-12-19,"01",420.97,"01",420.97,2007-12-29,S,2008-01-03,420.97,2007-12-20,
125,8,2007-12-20,"768435/1    ",2007-12-17,"02",969.74,"01",496.74,2008-01-07,S,2008-01-07,496.74,2007-12-20,
126,8,2007-12-20,"768435/2    ",2007-12-17,"02",969.74,"02",473.00,2008-01-21,S,2008-01-21,473.00,2007-12-20,
127,25,2007-12-28,"3531/1      ",2007-12-27,"01",950.55,"01",950.55,2008-01-24,S,2008-01-21,950.55,2007-12-28,
128,17,2007-12-28,"0           ",2007-12-23,"01",19.20,"01",19.20,2008-01-10,S,2008-01-10,19.20,2007-12-28,
129,21,2007-12-28,"601917      ",2008-01-01,"01",80.01,"01",80.01,2008-01-03,S,2008-01-03,80.01,2007-12-28,
131,8,2008-01-03,"770862/1    ",2007-12-28,"03",1291.76,"01",445.76,2008-01-18,S,2008-01-14,445.76,2008-01-03,
132,8,2008-01-03,"770862/2    ",2007-12-28,"03",1291.76,"02",423.00,2008-01-25,S,2008-01-21,423.00,2008-01-03,
133,8,2008-01-03,"770862/3    ",2007-12-28,"03",1291.76,"03",423.00,2008-02-01,S,2008-02-02,423.00,2008-01-03,
134,26,2008-01-09,"316A        ",2008-01-03,"02",714.00,"01",357.00,2008-01-14,S,2008-01-14,357.00,2008-01-09,
135,26,2008-01-09,"316B        ",2008-02-03,"02",714.00,"02",357.00,2008-02-03,S,2008-02-06,357.00,2008-01-09,
136,2,2008-01-09,"459634A     ",2008-01-04,"01",738.55,"01",738.55,2008-02-01,S,2008-02-04,738.55,2008-01-09,
130,21,2008-01-03,"988.598     ",2008-01-09,"01",65.05,"01",65.05,2008-01-09,S,2008-01-03,65.05,2008-01-03,
137,2,2008-01-16,"461927      ",2008-01-14,"02",1376.96,"01",700.98,2008-02-04,S,2008-02-06,700.98,2008-01-16,
138,2,2008-01-16,"461927      ",2008-01-14,"02",1376.96,"02",675.98,2008-02-11,S,2008-02-11,675.98,2008-01-16,
139,2,2008-01-21,"59752a      ",2008-01-16,"02",1301.76,"01",663.38,2008-02-06,S,2008-02-06,663.38,2008-01-21,
140,2,2008-01-21,"59752b      ",2008-01-16,"02",1301.76,"02",638.38,2008-02-20,S,2008-02-18,638.38,2008-01-21,
141,8,2008-01-24,"776335/1    ",2008-01-22,"03",1569.18,"01",539.18,2008-02-12,S,2008-02-11,539.18,2008-01-24,
142,8,2008-01-24,"776335/2    ",2008-01-22,"03",1569.18,"02",515.00,2008-02-19,S,2008-02-18,515.00,2008-01-24,
143,8,2008-01-24,"776335/3    ",2008-01-22,"03",1569.18,"03",515.00,2008-02-26,S,2008-02-26,515.00,2008-01-24,2008-01-24
144,1,2008-01-26,"18476/1     ",2008-01-25,"01",200.13,"01",200.13,2008-02-04,S,2008-02-06,200.13,2008-01-26,
145,25,2008-01-26,"3963/1      ",2008-01-25,"01",386.98,"01",386.98,2008-02-22,S,2008-02-18,386.98,2008-01-26,
146,10,2008-01-29,"00470       ",2008-01-28,"01",291.75,"01",291.75,2008-02-25,S,2008-02-25,291.75,2008-01-29,2008-01-29
147,2,2008-01-31,"60770A      ",2008-01-30,"01",790.00,"01",790.84,2008-02-27,S,2008-02-27,790.84,2008-01-31,
148,2,2008-01-31,"466140A     ",2008-01-30,"02",1126.58,"01",530.18,2008-02-27,S,2008-02-27,530.18,2008-01-31,
149,2,2008-01-31,"466140B     ",2008-01-30,"02",1126.58,"02",596.40,2008-03-05,S,2008-03-05,596.40,2008-01-31,
150,2,2008-01-31,"466141A     ",2008-01-30,"01",603.30,"01",603.30,2008-02-27,S,2008-02-27,603.30,2008-01-31,
151,8,2008-02-06,"778437/1    ",2008-01-30,"03",2007.61,"01",685.61,2008-02-20,S,2008-02-18,685.61,2008-02-06,
152,8,2008-02-06,"778437/2    ",2008-01-30,"03",2007.61,"02",661.00,2008-02-27,S,2008-02-27,661.00,2008-02-06,
153,8,2008-02-06,"778437/3    ",2008-01-30,"03",2007.61,"03",661.00,2008-03-05,S,2008-03-05,661.00,2008-02-06,
154,22,2008-02-07,"000000      ",2008-02-12,"01",236.30,"01",236.30,2008-02-12,S,2008-02-11,236.30,2008-02-07,
155,28,2008-02-12,scp1273/3   ,2008-01-30,"01",169.00,"01",169.00,2008-02-24,S,2008-02-25,169.00,2008-02-12,
156,18,2008-02-12,"005407      ",2008-01-31,"01",300.00,"01",300.00,2008-02-25,S,2008-02-25,300.00,2008-02-12,
157,11,2008-02-12,"5178        ",2008-01-31,"01",12.64,"01",12.64,2008-02-18,S,2008-02-18,12.64,2008-02-12,
158,29,2008-02-12,"000000      ",2008-02-15,"01",185.52,"01",185.52,2008-02-15,S,2008-02-15,185.52,2008-02-12,
159,24,2008-02-13,"000000      ",2008-02-15,"01",99.00,"01",99.00,2008-02-15,S,2008-02-15,99.00,2008-02-13,
160,4,2008-02-13,"88930       ",2008-02-12,"01",60.80,"1 ",60.80,2008-02-26,S,2008-02-25,60.80,2008-02-13,
161,4,2008-02-13,"88851       ",2008-02-12,"01",410.30,"01",410.30,2008-02-26,S,2008-02-25,410.30,2008-02-13,
162,30,2008-02-18,"11626       ",2008-02-14,"01",100.00,"01",100.00,2008-02-24,S,2008-02-25,100.00,2008-02-18,
163,30,2008-02-18,"709         ",2008-02-14,"01",100.00,"01",100.00,2008-02-24,S,2008-02-25,100.00,2008-02-18,
164,31,2008-02-20,"395536001   ",2008-02-12,"01",393.84,"01",393.84,2008-03-10,S,2008-03-10,393.84,2008-02-20,
165,11,2008-02-20,"2263716824  ",2008-02-13,"01",282.90,"01",282.90,2008-03-10,S,2008-03-05,282.90,2008-02-20,
166,25,2008-02-21,"4375*1      ",2008-02-20,"01",629.51,"01",629.51,2008-03-19,S,2008-03-18,629.51,2008-02-21,
167,1,2008-02-21,"19094/BR    ",2008-02-20,"01",238.53,"01",238.53,2008-03-01,S,2008-03-03,238.53,2008-02-21,
168,2,2008-02-25,"471617a     ",2008-02-22,"03",2605.67,"01",544.23,2008-03-14,S,2008-03-10,544.23,2008-02-25,
169,2,2008-02-25,"471617b     ",2008-02-22,"03",2605.67,"02",795.75,2008-03-24,S,2008-03-24,795.75,2008-02-25,
170,2,2008-02-25,"471617c     ",2008-02-22,"03",2605.67,"03",1265.69,2008-03-28,S,2008-03-24,1265.69,2008-02-25,
171,2,2008-02-26,"472267A     ",2008-02-25,"02",1588.06,"01",806.53,2008-03-17,S,2008-03-18,806.53,2008-02-26,
172,2,2008-02-26,"472267B     ",2008-02-25,"02",1588.06,"02",781.53,2008-03-24,S,2008-03-24,781.53,2008-02-26,
173,2,2008-03-06,"474918A     ",2008-03-05,"02",1225.04,"01",625.02,2008-03-26,S,2008-03-24,625.02,2008-03-06,
174,2,2008-03-06,"474918B     ",2008-03-05,"02",1225.04,"02",600.02,2008-04-02,S,2008-03-31,600.02,2008-03-06,
175,18,2008-03-10,"5951        ",2008-02-27,"01",300.00,"01",300.00,2008-03-25,S,2008-03-24,300.00,2008-03-10,
176,22,2008-03-10,"000000      ",2008-03-12,"01",229.29,"01",229.29,2008-03-12,S,2008-03-12,229.29,2008-03-10,
177,8,2008-03-11,"788681/1    ",2008-03-07,"02",1094.66,"01",558.66,2008-03-28,S,2008-03-24,558.66,2008-03-11,
178,8,2008-03-11,"788681/2    ",2008-03-07,"02",1094.66,"02",536.00,2008-04-11,S,2008-04-07,536.00,2008-03-11,
179,2,2008-03-19,"477654A     ",2008-03-17,"04",2831.94,"01",707.99,2008-03-31,S,2008-03-31,707.99,2008-03-19,2008-03-19
180,2,2008-03-19,"477654B     ",2008-03-17,"04",2831.94,"02",707.99,2008-04-07,S,2008-04-07,707.99,2008-03-19,
181,2,2008-03-19,"477654C     ",2008-03-17,"04",2831.94,"03",707.99,2008-04-14,S,2008-04-14,707.99,2008-03-19,
182,2,2008-03-19,"477654D     ",2008-03-17,"04",2831.94,"04",707.99,2008-04-22,S,2008-04-22,707.99,2008-03-19,
183,11,2008-03-21,"7147A       ",2008-03-19,"03",1307.66,"01",435.90,2008-04-16,S,2008-04-14,435.90,2008-03-21,
184,11,2008-03-21,"7147B       ",2008-03-19,"03",1307.66,"02",435.88,2008-04-23,S,2008-04-22,435.88,2008-03-21,
185,11,2008-03-21,"7147C       ",2008-03-19,"03",1307.66,"03",435.88,2008-04-30,S,2008-04-28,435.88,2008-03-21,2008-03-24
186,2,2008-03-26,"479522A     ",2008-03-25,"02",1291.90,"01",658.45,2008-04-14,S,2008-04-14,658.45,2008-03-26,
187,2,2008-03-26,"479522B     ",2008-03-25,"02",1291.90,"02",633.45,2008-04-28,S,2008-04-28,633.45,2008-03-26,
191,18,2008-04-04,"006841      ",2008-03-28,"01",300.00,"01",300.00,2008-04-25,S,2008-04-22,300.00,2008-04-04,
192,8,2008-04-08,"796511/1    ",2008-04-03,"03",1628.43,"01",558.43,2008-04-24,S,2008-04-22,558.43,2008-04-08,
193,8,2008-04-08,"796511/2    ",2008-04-03,"03",1628.43,"02",535.00,2008-05-01,S,2008-04-30,535.00,2008-04-08,
194,8,2008-04-08,"796511/3    ",2008-04-03,"03",1628.43,"03",535.00,2008-05-08,S,2008-05-06,535.00,2008-04-08,
195,8,2008-04-13,"798226/1    ",2008-04-09,"03",1397.55,"01",492.10,2008-04-30,S,2008-04-30,492.10,2008-04-13,
196,8,2008-04-13,"798226/2    ",2008-04-09,"03",1397.55,"02",468.00,2008-05-07,S,2008-05-06,468.00,2008-04-13,
197,8,2008-04-13,"798226/3    ",2008-04-09,"03",1397.55,"03",468.00,2008-05-14,S,2008-05-14,468.00,2008-04-13,
198,2,2008-04-13,"483986A     ",2008-04-09,"03",2561.89,"01",853.96,2008-04-30,S,2008-04-30,853.96,2008-04-13,
199,2,2008-04-13,"483986B     ",2008-04-09,"03",2561.89,"02",853.96,2008-05-07,S,2008-05-06,853.96,2008-04-13,
200,2,2008-04-13,"483986C     ",2008-04-09,"03",2561.89,"03",853.96,2008-05-14,S,2008-05-14,853.96,2008-04-13,
201,2,2008-04-13,"484609A     ",2008-04-10,"02",1226.58,"01",625.79,2008-05-02,S,2008-04-30,625.79,2008-04-13,
202,2,2008-04-13,"484609B     ",2008-04-10,"02",1226.58,"02",600.79,2008-05-08,S,2008-05-06,600.79,2008-04-13,
203,2,2008-04-18,"66289A      ",2008-04-17,"03",2588.02,"01",879.34,2008-05-08,S,2008-05-06,879.34,2008-04-18,
204,2,2008-04-18,"66289B      ",2008-04-17,"03",2588.02,"02",854.34,2008-05-15,S,2008-05-15,854.34,2008-04-18,
